Protest ID #,Country name,COW Country Code,Year,Region,Protest,what number protest is this for this country year?,Start Day,Start Month,Start Year,End Day,End Month,End Year,Protester Violence,Location of Protest,Number of Participants in Protest,Reported participation in protest,Protester Group Identity,Primary Protester Demands [Demand 1],Primary Protester Demands [Demand 2],Primary Protester Demands [Demand 3],Primary Protester Demands [Demand 4],Notes,Demand_Type,Actor_Type,num_events_hist,y_fatal
201990001,Canada,20,1990,North America,1,1,15.0,1.0,1990.0,15.0,1.0,1990.0,0.0,national,,1000s,unspecified,"political behavior, process",labor wage dispute,,,"""Canada's railway passenger system was finally cut by half yesterday, with 18 of 38 routes run by VIA Rail, the government-owned passenger service, being eliminated in terms of an earlier decision... As 'The Canadian' made its last run to Vancouver, where it is to arrive tomorrow, thousands of people gathered at stations along the way to protest against the cuts, which will leave entire regions without services. The train.. carried 539,000 passengers last year but lost millions of dollars. The Government announced the passenger-service cuts last October, saying they were necessary to trim VIA's Dollars Can560 million (Pounds 280 million) annual, taxpayer-financed operating subsidy. About 2,700 workers, nearly 40 per cent of the workforce, are to be laid off, saving the Government Dollars Can1.5 billion in subsidies over five years.""",political_demand,other,2.25,0
201990002,Canada,20,1990,North America,1,2,25.0,6.0,1990.0,25.0,6.0,1990.0,0.0,"Montreal, Quebec",,1000,unspecified,"political behavior, process",,,,"protestors were only identified as ""young people,"" and the gathering was spontaneous",political_demand,other,2.25,0
201990003,Canada,20,1990,North America,1,3,1.0,7.0,1990.0,1.0,7.0,1990.0,0.0,"Montreal, Quebec",,500,(separatist) Parti Quebecois,"political behavior, process",,,,"""THE Queen, after calling on Canadians to remain united, braved protesters and entered French-speaking Quebec yesterday to help celebrate Canada's national holiday amid a constitutional crisis. Although some Quebecers had urged her not to come, the Queen strolled around a park in Hull, Quebec, for half an hour, accompanied by Brian Mulroney, the federal prime minister, and Royal Canadian Mounted Police. About 500 nationalist Quebecers, mourning the failure last week of the Meech Lake accord that would have recognised the province as a distinct society, staged a peaceful protest during the walk."" ""The queen's appearance, part of a special celebration marking Canada Day, was further dampened by about 500 supporters of the separatist Parti Quebecois, some of them wrapped in the fleur-de-lis provincial flag, who staged a vocal but orderly demonstration outside the Jacques Cartier Park in Hull, a city of 65,000 located just across the Ottawa River from the capital of Ottawa.""",political_demand,other,2.25,0
201990004,Canada,20,1990,North America,1,4,12.0,7.0,1990.0,6.0,9.0,1990.0,1.0,"Montreal, Quebec",,100s,Mohawk Indians,land farm issue,,,,"""Canada's federal government has agreed to acquire a tract of land that has been the subject of armed dispute between Mohawk Indians and officials of a Montreal suburb, Quebec's minister of Indian affairs announced today. At a press conference in Montreal, the province's Indian affairs minister, John Ciaccia, said federal officials had approved the purchase -- or expropriation if necessary -- of 55 acres of woodland that Mohawks of the Kahnesatake community claim as ancestral land. The suburban town of Oka, 18 miles west of Montreal, planned to use it for an addition to a golf course. Ciaccia did not say the land would be recognized as Mohawk ancestral territory, but it was clear from his description that the federal action would be intended to block the golf course extension that the Indians have been fighting."" ""During the last week and a half of the four-month golf-course dispute, about 200 Mohawks, armed with automatic assault rifles and other weapons, have faced off against hundreds of Quebec provincial police. A police officer was shot to death on July 11 when the police tried to remove a barricade erected on the disputed land. It is not clear whether the officer was shot by fellow police or armed Indians.""",land farm issue,other,2.25,0
201990005,Canada,20,1990,North America,1,5,14.0,8.0,1990.0,15.0,8.0,1990.0,1.0,"Montreal, Quebec",,950,local residents,"political behavior, process",,,,Protests were directed against the state due to its refusal to use violence to clear Mohawk Indians' blockades from a main road.,political_demand,other,2.25,0
201990006,Canada,20,1990,North America,1,6,19.0,9.0,1990.0,19.0,9.0,1990.0,0.0,"Kahnawake Reservation near Montreal, Quebec",,200,Mohawk Indians,police brutality,,,,"""Canadian army troops today fired tear gas into a crowd of about 200 Mohawk Indians who attempted to block a combined army and Quebec police search for illegal weapons on a small island off the Kahnawake Reservation near Montreal. Police said a soldier and two Mohawks were injured slightly in a melee, and automatic weapons were fired into the air by the troops to disperse the crowd.""",political_demand,other,2.25,0
201991001,Canada,20,1991,North America,1,1,10.0,9.0,1991.0,17.0,9.0,1991.0,0.0,national,,110000,Public Service Alliance of Canada,labor wage dispute,,,,"""Brian Mulroney, the embattled Conservative Prime Minister, introduced legislation today to crush a week-old strike of federal civil servants that has cut grain shipments, snarled air travel, slowed essential imports and curbed Canada's industrial output."" ""Two-thirds of 156,000-member Public Service Alliance of Canada have been on strike since Sept. 9. About 46,000 union members are essential personnel prohibited under Canadian law from walking off their jobs. The union struck to protest the Government's plan to give no pay raises this year and 3 percent hikes in each of the next two years. But the Treasury Board President, Gilles Loiselle, insisted today that Ottawa was still committed to its previously announced austerity plan.""",economic_demand,mass_public,3.5,0
201991002,Canada,20,1991,North America,1,2,28.0,9.0,1991.0,2.0,10.0,1991.0,0.0,national,,110000,Public Service Alliance of Canada,labor wage dispute,,,,"""The Canadian government introduced mandatory back-to-work legislation today aimed at ending a nationwide strike of federal workers that has disrupted airports and border crossings, stalled grain shipments and closed some offices. Following a 10-day truce during which federal employees agreed to work while contract negotiations continued, about 110,000 members of the Public Service Alliance returned to the picket lines to protest the government's wage restraints, which permit no salary increases this year and promise increases of only 3 percent in each of the next two years. The current annual inflation rate is 6 percent.""",economic_demand,mass_public,3.5,0
201992001,Canada,20,1992,North America,1,1,4.0,5.0,1992.0,5.0,5.0,1992.0,1.0,Toronto,,1000,gangs of black and white youths,police brutality,,,,"Rioting was in response to the killing of a black Canadian man by police, but was described as inspired by the Rodney King riots in Los Angeles, California.",political_demand,student_group,3.75,0
201993001,Canada,20,1993,North America,1,1,16.0,5.0,1993.0,16.0,5.0,1993.0,0.0,Ottawa,,10000s,unspecified,"political behavior, process",,,,"""Tens of thousands of Canadians marched in the capital today to protest the North American Free Trade Agreement with the United States and Mexico. Speakers blamed the 1989 Canada-United States free trade pact for closing Canadian industries and throwing hundreds of thousands of people out of work.""",political_demand,other,3.75,0
