Country name,doctrine_cluster
Afghanistan,1
Albania,0
Algeria,0
Angola,0
Argentina,1
Armenia,1
Austria,1
Azerbaijan,0
Bahrain,0
Bangladesh,3
Belarus,0
Belgium,1
Benin,1
Bhutan,1
Bolivia,3
Bosnia,1
Botswana,1
Brazil,3
Bulgaria,1
Burkina Faso,0
Burundi,0
Cambodia,2
Cameroon,0
Canada,1
Cape Verde,1
Central African Republic,0
Chad,0
Chile,1
China,0
Colombia,1
Comoros,0
Congo Brazzaville,0
Congo Kinshasa,0
Costa Rica,1
Croatia,1
Cuba,1
Cyprus,1
Czech Republic,1
Denmark,1
Djibouti,1
Dominican Republic,3
Ecuador,3
Egypt,0
El Salvador,1
Equatorial Guinea,1
Eritrea,1
Estonia,1
Ethiopia,0
Finland,1
France,1
Gabon,0
Gambia,1
Georgia,1
Germany,1
Ghana,0
Greece,1
Guatemala,1
Guinea,2
Guinea-Bissau,1
Guyana,0
Haiti,0
Honduras,1
Hungary,1
India,0
Indonesia,3
Iran,0
Iraq,1
Ireland,1
Italy,1
Ivory Coast,0
Jamaica,0
Japan,1
Jordan,1
Kazakhstan,1
Kenya,0
Kosovo,1
Kuwait,1
Kyrgyzstan,1
Laos,1
Latvia,1
Lebanon,1
Lesotho,0
Liberia,0
Libya,0
Lithuania,1
Luxembourg,1
Macedonia,1
Madagascar,0
Malawi,0
Malaysia,1
Mali,0
Mauritania,1
Mauritius,1
Mexico,1
Moldova,1
Mongolia,1
Morocco,1
Mozambique,0
Myanmar,1
Namibia,1
Nepal,3
Netherlands,1
Nicaragua,3
Niger,0
Nigeria,0
North Korea,1
Norway,1
Oman,1
Pakistan,0
Panama,0
Papua New Guinea,1
Paraguay,1
Peru,1
Philippines,1
Poland,1
Portugal,1
Qatar,1
Romania,1
Russia,1
Rwanda,1
Saudi Arabia,0
Senegal,1
Sierra Leone,1
Singapore,1
Slovak Republic,1
Slovenia,1
Somalia,0
South Africa,3
South Korea,0
Spain,1
Sri Lanka,1
Sudan,0
Suriname,1
Swaziland,0
Sweden,1
Switzerland,1
Syria,0
Taiwan,1
Tajikistan,0
Tanzania,0
Thailand,1
Timor Leste,0
Togo,0
Tunisia,0
Turkey,0
Turkmenistan,1
USSR,1
Uganda,3
Ukraine,1
United Arab Emirate,1
United Kingdom,1
Uruguay,1
Uzbekistan,0
Venezuela,3
Vietnam,0
Yemen,3
Yugoslavia,0
Zambia,0
Zimbabwe,3
